Washington,Shoreline city,53007
Washington,Spokane city,208916
Washington,Spokane Valley city,89755
Washington,Tacoma city,198397
Washington,Vancouver city,161791
Washington,Yakima city,91067
West Virginia,Charleston city,51400
Wisconsin,Appleton city,72623
Wisconsin,Eau Claire city,65883
Wisconsin,Green Bay city,104057
Wisconsin,Janesville city,63575
Wisconsin,Kenosha city,99218
Wisconsin,La Crosse city,51320
Wisconsin,Madison city,233209
Wisconsin,Milwaukee city,594833
Wisconsin,Oshkosh city,66083
Wisconsin,Racine city,78860
Wisconsin,Waukesha city,70718
Wisconsin,West Allis city,60411
Wyoming,Casper city,55316
Wyoming,Cheyenne city,59466
